movie_idx,movie_name,release_year,rating,votes,genre,Cinemagoer_id,multiple_plot
m10,affliction,1997,6.9,7252,"'drama', 'mystery', 'thriller'",0118564,"['A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.', 'Boston University professor Whitehouse tells of the events leading up to the disappearance of his older brother Wade. The police officer who investigates is deeply troubled, and the murder case drains his mental acuity to the point of a total mental collapse.—Huggo', ""In a small New Hampshire town, washed-up cop Wade Whitehouse has a troubled past, an abusive father, the contempt of his ex-wife and an unimpressive streak as a lawman. When hunting guide Jack Hewitt reports a businessman's accidental death during a hunting trip, Wade believes he has a chance to turn around his life, if he can prove it was murder. Increasingly obsessed, Wade begins to lose his composure during the investigation.—Jwelch5742"", ""Wade Whitehouse is a sheriff of a small New Hampshire town who achieved nothing in life in the opinion of his ex-wife Lillian and daughter Jill and is a heavy drinker. His girlfriend Margie accepts him the way he is. On the first day of the hunting season, Wade's friend Jack takes a wealthy businessman to hunt - and only Jack returns alive. Wade decides to play detective and starts investigating the case despite the fact Jack insists it was an accidental self-inflicted shot.—Anonymous""]"
m11,air force one,1997,6.3,61978,"'action', 'drama', 'thriller'",0118571,"['Communist radicals hijack Air Force One with the U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a veteran, fights to rescue the hostages on board.', 'The President of the USA goes to Moscow and gives a stirring speech outlining the USA\'s new ""Zero-tolerance"" policy with respect to terrorism. On the flight home, terrorists take over Air Force One (the President\'s official plane) and take the passengers (including his wife and daughter) hostage. The terrorists plan to execute one hostage every half-hour unless/until their demands are met. However, the President is a former Medal of Honor winner, so the terrorists may be in for a surprise...—Afterburner <aburner@erols.com>', ""A thriller about a steadfast U.S. President who has just told the world he will not negotiate with terrorists. Now, Russian neo-nationalists have hijacked Air Force One and the President is faced with a nearly impossible decision: give in to terrorist demands or sacrifice not only the country's dignity, but the lives of his wife and daughter.—Robert Lynch <docrlynch@yahoo.com>""]"
m12,airplane ii: the sequel,1982,5.8,15210,"'comedy', 'romance', 'sci-fi'",0083530,"['A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track - again?', ""Still haunted by that fateful wartime incident and the nearly catastrophic events of Airplane! (1980), Ted Striker, the ex-fighter pilot who hates flying, escapes from the mental asylum. But as the first passenger space shuttle, the state-of-the-art but untested Mayflower One, is about to take off on its maiden flight, once more, an unforeseen malfunction forces Ted to take over the controls of the shuttle. Now, the traumatized commander is holding everyone's lives in his hands, and as if that weren't enough, Striker has to patch up his already complicated relationship with his engaged former lover, Elaine Dickinson, and confront an unhinged voyager bent on destruction. Can Ted Striker, the reluctant hero, save the day for the second time?—Nick Riganas"", ""Years have passed since Ted Striker heroically saved many lives by avoiding a plane crash. Working as a test pilot for a new Lunar Shuttle, he gets innocently sent into a mental ward after a crash of the badly constructed, computer-navigated spaceship. When he hears that the exactly same type of shuttle is scheduled for a moon flight soon, he breaks out to hinder the launch. Aboard, Ted finds his ex Elaine Dickinson working as stewardess again and her fiancé Simon, a member of the committee that wants the Mayflower I to be launched. In flight, the ship's computer ROK 9000 takes control. It is up to Ted again to save the passengers' lives - if there only wouldn't be these flashbacks to the war and these people who know Ted and have no faith in his abilities at all.—Julian Reischl <julianreischl@mac.com>""]"
m13,airplane!,1980,7.8,57692,"'comedy', 'romance'",0080339,"['After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.', ""Drowning his sorrows after that botched mission during World War II, Ted Striker, a traumatized ex-fighter-pilot with a neurotic fear of flying, still has not gotten over his old flame, flight attendant, Elaine Dickinson. Determined to win her back, Ted boards a domestic flight from Los Angeles to Chicago, only to come face-to-face with a severe case of in-flight food poisoning that is threatening everyone's lives. With most of the passengers and the entire cockpit crew down with the food-borne illness, Striker must confront his inner demons and take over the control of the ungovernable aircraft with the help of a gruff air-traffic controller and his former commander. Can Ted Striker land the airplane and save the passengers?—Nick Riganas"", ""Ted Striker just got dumped by his long-time girlfriend Elaine Dickinson, a flight attendant at Trans American Airlines. In his wish to get her back, he follows her aboard the plane, although he has had a deep aversion against anything winged since he lost several men in the war. During flight, he tries to contact her again and again, but as the crew and many passengers get seriously ill due to a bad fish meal, he has no chance to get to her. In fact, he seems to be the only healthy person aboard that has piloting experience. It is up to him to get the bird down in Chicago safely, before the poisoning starts causing casualties. But Ted Striker's aversion is a serious psychosis which breaks open and needs to be cured--immediately..—Julian Reischl <julianreischl@mac.com>""]"
m14,alien nation,1988,6.1,5590,"'crime', 'drama', 'sci-fi', 'thriller'",0094631,"['In 1988, Earth makes the first contact with an alien civilization. In 1991, these aliens, known as Newcomers, slowly begin to be integrated into human society after three years of quarantine.', 'A few years from now, Earth will have the first contact with an alien civilisation. These aliens, known as Newcomers, slowly begin to be integrated into human society after years of quarantine but are victims of a new type of discrimination. When the first Newcomer police officer, Sam Francisco is assigned his new partner, he is given Matthew Sykes , a mildly racist veteran, the animosity between them soon gives way to respect as they investigate the Newcomer underworld, and especially Newcomer leader William Harcourt.—Jonathan Broxton <j.w.broxton@sheffield.ac.uk>']"
m15,aliens,1986,8.5,173518,"'action', 'sci-fi', 'thriller'",0090605,"['Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.', ""57 years after Ellen Ripley had a close encounter with the reptilian alien creature from the first movie, she is called back, this time, to help a group of highly trained colonial marines fight off against the sinister extraterrestrials. But this time, the aliens have taken over a space colony on the moon LV-426. When the colonial marines are called upon to search the deserted space colony, they later find out that they are up against more than what they bargained for. Using specially modified machine guns and enough firepower, it's either fight or die as the space marines battle against the aliens. As the Marines do their best to defend themselves, Ripley must attempt to protect a young girl who is the sole survivor of the nearly wiped out space colony.—blazesnakes9"", ""Living in a state of suspended animation for the past fifty-seven years, the sole survivor of the bloody Nostromo massacre in Alien (1979), Lieutenant First Class Ellen Ripley, wakes up in a salvage ship on its way back to Earth. Now, faced with the consequences of her actions, disgraced Ripley reluctantly accepts to escort the junior executive, Carter Burke, along with a tough-as-nails squad of U.S. Colonial Marines to Hadley's Hope, the terraforming and mining colony on LV-426, in exchange for her pilot's licence. But, there, on the dark surface of the remote exoplanetary satellite, multitudes of predatory endoparasitoid creatures known as Xenomorphs, just like the aggressive Stage 3 drone that killed Ellen's companions, prowl the area. This time, it's war, and as the undaunted, acid-spewing space-insects decimate the armed-to-the-teeth troops, once more, Ripley must take her life into her own hands. Can a woman alone put an end to the nightmare of the ferocious Aliens?—Nick Riganas"", ""In James Cameron's superb sequel to Alien (1979), Sigourney Weaver returns to civilization and is recruited to rescue a space colony on the planet where the first alien reigned. Only one small girl has survived--but a whole nest of 'them' is waiting for new prey. Hellbent on saving the child, Weaver takes on the alien leader, a female protecting her young, in a fight to the death."", 'Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley (Sigourney Weaver) awakens from hyper-sleep and tries to warn anyone who will listen about the predators. Although she is ignored at first, when contact with colonists on a planet thought safe is suddenly lost, Ripley and a military team are sent to confront the aliens.']"
m16,amadeus,1984,8.4,99138,"'biography', 'drama', 'music'",0086879,"[""The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."", ""Antonio Salieri believes that Wolfgang Amadeus Mozart's music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God's rewards for his piety. He's also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he's shocked to learn that Mozart is such a vulgar creature, and can't understand why God favored Mozart to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity.—Khaled Salem"", ""Claiming to have murdered the composer Wolfgang Amadeus Mozart, the elderly Antonio Salieri recounts to a priest his dealings with the brilliant composer. Salieri was court composer to Austrian Emperor Joseph II when Mozart and he first met. The Emperor, a major patron of the arts, immediately commissioned Mozart to write an opera in German, rather than the customary Italian. Mozart is childish, arrogant, annoying and brilliant all at once and Salieri is simultaneously in awe and green with envy at his genius. Salieri uses Mozart's difficult relationship with his father and his guilt over being a bad son to drive him slightly mad and into a downward spiral of ill health, leading to his death.—garykmcd"", ""It is the early 19th century. An old man is thrown into an insane asylum after trying to commit suicide. He is Antonio Salieri and in the asylum he is visited by a priest, to whom he confesses that he killed Mozart. He then recounts his time as court composer to Emperor Joseph II of Austria. Mozart appears at the court and is hired by the Emperor to produce an opera. His genius is quite evident. Salieri is a devout Christian man and believes all musical talent and inspiration is given by God. Mozart's personal life and extracurricular activities appall Salieri. He cannot reconcile Mozart's talent and his lifestyle and sets out to drive him from the court. Initially his aim is to undermine him but over time his intentions turn deadlier.—grantss"", ""Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.—Jwelch5742""]"
m17,an american werewolf in london,1981,7.5,24443,"'horror', 'romance'",0082010,"['Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.', 'Two American college students are on a walking tour of Britain and are attacked by a werewolf. One is killed, the other is mauled. The werewolf is killed but reverts to its human form, and the local townspeople are unwilling to acknowledge its existence. The surviving student begins to have nightmares of hunting on four feet at first but then finds that his friend and other recent victims appear to him, demanding that he commit suicide to release them from their curse, being trapped between worlds because of their unnatural deaths.—John Vogel <jlvogel@comcast.net>', ""Two American friends David & Jack and taking a walking holiday through Northern England and are attacked by a Werewolf . Jack is ripped to shreds and David survives but is badly scarred. David wakes up a week later in a hospital in London and is upset to hear of his friends passing. He begins to have nightmares and visions of running wild through the woods. He becomes very close to one of the nurses, Alex, and when discharged he stays with her in her flat in London. He begins to get a visit from his dead friend Jack who warns him that he will become a Werewolf at the next full moon and must take his own life. Thinking he's crazy he ignores all of Jacks warnings. Sure enough he transforms when the moon is full and goes on a murderous rampage through London.—Rob Higgins"", ""David and Jack, two American college students, are backpacking through Britain when a large wolf attacks them. David survives with a bite, but Jack is brutally killed. As David heals in the hospital, he's plagued by violent nightmares of his mutilated friend, who warns David that he is becoming a werewolf. When David discovers the horrible truth, he contemplates committing suicide before the next full moon causes him to transform from man to murderous beast.—Jwelch5742""]"
m18,american madness,1932,7.4,702,'drama',0022626,"[""Socially-conscious banker Thomas Dickson faces a crisis when his protégé is wrongly accused for robbing the bank, gossip of the robbery starts a bank run, and evidence suggests Dickson's wife had an affair...all during the same day."", ""During the 1930s Depression, the Board of Directors of Thomas Dickson's bank want him to merge with New York Trust and resign; he refuses. One night, his bank is robbed of $100,000. The suspect is Matt Brown, an ex-convict whom Dickson hired and appointed Chief Teller. Brown, who's very loyal to Dickson, refuses to say where he was that night. He actually has two witnesses for his alibi, Mrs. Dickson and fellow worker Cyril Cluett, but Brown is protecting Dickson from finding out that Mrs. Dickson was with Cluett having a romantic evening. Cluett, who has a $50,000 gambling debt, is actually responsible for the robbery, but lets Brown take the rap. Will Brown's loyalty to Mr. Dickson pay off, or send him back to prison?—Kelly"", ""For 25 years, Tom Dickson, the President of Union National Bank, has had the bank, its employees and its clients in his best interest. In turn, his employees and the bank's clients are fiercely loyal to Tom and the bank. The bank's Board of Directors have a different view. They accuse Tom of being reckless, especially in being overly liberal in approving what they consider questionable loans. Tom defends his loan policy, stating that money in circulation is what is needed to help the country get out of the depression. The Board will do whatever it needs to to remove Tom from his position. When the bank is robbed of $200,000, one of Tom's most loyal employees, Matt Brown, the newly-appointed assistant head cashier, is implicated as the thief, although Tom believes Matt is innocent. Although Matt does not know who committed the robbery, he is reluctant to defend himself if only to protect Tom from information concerning head cashier Cyril Cluett and Tom's neglected wife Phyllis. The robbery, however, has wider effects: it starts a chain of events that could ruin the bank. Tom must figure out how to save the bank while evaluating his priorities in light of information that comes to his attention about his home life.—Huggo""]"
m19,american outlaws,2001,5.7,7425,"'action', 'western'",0244000,"['5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.', 'When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. In the course of their vendetta, they will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jesse James.—<gsm1224@ix.netcom.com>']"
m20,american psycho,2000,7.4,101357,"'drama', 'thriller'",0144084,"['A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.', ""It's the late 1980s. Twenty-seven year old Wall Streeter Patrick Bateman travels among a closed network of the proverbial beautiful people, that closed network in only they able to allow others like themselves in in a feeling of superiority. Patrick has a routinized morning regimen to maintain his appearance of attractiveness and fitness. He, like those in his network, are vain, narcissistic, egomaniacal and competitive, always having to one up everyone else in that presentation of oneself, but he, unlike the others, realizes that, for himself, all of these are masks to hide what is truly underneath, someone/something inhuman in nature. In other words, he is comprised of a shell resembling a human that contains only greed and disgust, greed in wanting what others may have, and disgust for those who do not meet his expectations and for himself in not being the first or the best. That disgust ends up manifesting itself in wanting to rid the world of those people, he not seeing them as people but only of those characteristics he wants to rid.—Huggo"", 'Patrick Bateman is handsome, well educated and intelligent. He is twenty-seven and living his own American dream. He works by day on Wall Street, earning a fortune to complement the one he was born with. At night he descends into madness, as he experiments with fear and violence.—Lion Films']"
m21,antitrust,2001,6.0,16453,"'drama', 'thriller'",0218817,"[""A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems."", ""This movie is the fictional story of computer programming genius Milo Hoffman after graduating from Stanford and getting out into the competitive world of computer software. In his contemplation of where to begin his career, he is contacted by Gary Winston whose character is loosely based on Bill Gates. Winston is the CEO of a company called NURV, and they are on the brink of completing the global communication's system, Synapse. They need Hoffman to help them meet their launch date, so after much thought and with the full support of his girlfriend Alice, he accepts the job. Tragedy soon after strikes and Milo becomes suspicious of the company he has been wrapped up in. He learns that trusting anyone could be a mistake, and that nothing is as it seems.—Jordan Thornsburg"", ""Best friends Milo and Teddy are two idealistic computer whiz kids who recently graduated from Stanford. They are both offered jobs at NURV, a giant Portland company on the verge of a world-linking satellite communication system. With support from his girlfriend, Milo accepts the job; Teddy declines and continues work on a media compression program he wants to make available for free. Gary Winston, NURV's driven CEO, takes a personal interest in Milo, whose genius can help NURV meet its launch date. Milo responds with brilliance and long hours. Yet when Teddy meets with tragedy, Winston's offhand remark makes Milo suspicious. Milo decides to investigate Winston and NURV, but whom can he trust?—<jhailey@hotmail.com>""]"
