speaker_id,character_name,movie_idx,movie_name,gender,credit_pos
u717,LUPUS,m45,confidence,m,13
u728,JACK,m46,croupier,m,1
u725,BELLA,m46,croupier,f,17
u727,GILES,m46,croupier,m,2
u733,MARION,m46,croupier,f,6
u730,JANI,m46,croupier,f,21
u734,MATT,m46,croupier,m,16
u735,REYNOLDS,m46,croupier,m,4
u741,PINBACK,m47,dark star,m,4
u737,BOILER,m47,dark star,m,2
u740,DOOLITTLE,m47,dark star,m,1
u739,BOMB #20,m47,dark star,m,1000
u743,TALBY,m47,dark star,m,3
u742,POWELL,m47,dark star,m,1000
u753,MAX,m48,dark angel,m,0
u745,BRUNO,m48,dark angel,m,0
u755,ORIGINAL CINDY,m48,dark angel,f,0
u751,LOGAN,m48,dark angel,m,0
u752,LYDIA,m48,dark angel,f,0
u756,SKETCHY,m48,dark angel,m,0
u765,HAWK,m49,detroit rock city,m,3
u766,JAM,m49,detroit rock city,m,4
u775,TRIP,m49,detroit rock city,m,2
u768,LEX,m49,detroit rock city,m,1
u785,GRETCHEN,m50,donnie darko,f,18
u779,DONNIE,m50,donnie darko,m,1
u781,DR. THURMAN,m50,donnie darko,m,0
u796,AMBER,m51,drop dead gorgeous,f,1
u810,LORETTA,m51,drop dead gorgeous,f,3
u797,ANNETTE,m51,drop dead gorgeous,f,2
u820,GROUCHO,m52,duck soup,m,0
u817,BOB,m52,duck soup,m,4
u818,CHICO,m52,duck soup,m,3
u821,MRS. TEASDALE,m52,duck soup,m,1000
u822,TRENTINO,m52,duck soup,m,7
u832,MERRICK,m53,the elephant man,m,2
u824,ANNE,m53,the elephant man,f,0
u838,TREVES,m53,the elephant man,m,1
u826,BYTES,m53,the elephant man,m,6
u827,CARR,m53,the elephant man,m,4
u833,MOTHERSHEAD,m53,the elephant man,f,5
u849,KING ARNULF,m54,erik the viking,m,4
u839,AUD,m54,erik the viking,f,5
u840,ERIK,m54,erik the viking,m,1
u851,LOKI,m54,erik the viking,m,8
u846,HELGA,m54,erik the viking,f,15
u855,SVEN'S DAD,m54,erik the viking,m,10
u848,KEITEL,m54,erik the viking,m,9
u854,SVEN,m54,erik the viking,m,10
u861,JOEL,m55,eternal sunshine of the spotless mind,m,1
u859,CLEMENTINE,m55,eternal sunshine of the spotless mind,f,2
u862,MARY,m55,eternal sunshine of the spotless mind,f,9
u867,PATRICK,m55,eternal sunshine of the spotless mind,m,4
u863,MIERZWIAK,m55,eternal sunshine of the spotless mind,m,10
u864,NAOMI,m55,eternal sunshine of the spotless mind,f,0
u869,STAN,m55,eternal sunshine of the spotless mind,m,6
u872,CHINK,m56,even cowgirls get the blues,m,3
u877,SISSY,m56,even cowgirls get the blues,f,1
u874,JELLY,m56,even cowgirls get the blues,f,7
u878,THE COUNTESS,m56,even cowgirls get the blues,m,6
u879,COOPER,m57,event horizon,m,5
u884,MILLER,m57,event horizon,m,1
u886,SMITH,m57,event horizon,m,8
u888,WEIR,m57,event horizon,m,2
u887,STARCK,m57,event horizon,f,4
u885,PETERS,m57,event horizon,f,3
u890,BEN,m58,fantastic four,m,4
u897,SUE,m58,fantastic four,f,2
u899,VICTOR,m58,fantastic four,m,5
u895,REED,m58,fantastic four,m,1
u893,JOHNNY,m58,fantastic four,m,3
u901,BRAD,m59,fast times at ridgemont high,m,3
u914,SPICOLI,m59,fast times at ridgemont high,m,1
u915,STACY,m59,fast times at ridgemont high,f,2
u904,DAMONE,m59,fast times at ridgemont high,m,4
u910,LINDA,m59,fast times at ridgemont high,f,6
u912,MR. HAND,m59,fast times at ridgemont high,m,7
u920,DUKE,m60,fear and loathing in las vegas,m,1
u918,CLERK,m60,fear and loathing in las vegas,f,9
u921,GONZO,m60,fear and loathing in las vegas,m,2
u935,HEROINE,m61,feast,f,3
u930,BOSS MAN,m61,feast,m,1000
u929,BELLE,m61,feast,f,0
u955,FRANCES,m62,frances,f,1
u948,DICK,m62,frances,m,28
u956,HARRY,m62,frances,m,3
u953,ERNEST,m62,frances,m,4
u962,LILLIAN,m62,frances,f,2
u969,YOUNG MAN,m62,frances,m,0
u967,SYMINGTON,m62,frances,m,38
u980,VICTOR,m63,frankenstein,m,3
u972,ELIZABETH,m63,frankenstein,f,2
u976,HENRY,m63,frankenstein,m,1
u983,ALICE,m64,friday the 13th,f,0
u985,BILL,m64,friday the 13th,m,0
u997,JACOB,m65,from dusk till dawn,m,1
u1005,SETH,m65,from dusk till dawn,m,2
u998,KATE,m65,from dusk till dawn,f,4
u1003,RICHARD,m65,from dusk till dawn,m,3
u1017,JORDAN,m66,g.i. jane,f,1
u1010,DEHAVEN,m66,g.i. jane,f,3
u1008,C.O.,m66,g.i. jane,m,17
u1019,ROYCE,m66,g.i. jane,m,4
u1023,WICKWIRE,m66,g.i. jane,m,13
u1024,ANIMAL,m67,godzilla,m,4
u1025,AUDREY,m67,godzilla,f,3
u1034,NICK,m67,godzilla,m,0
u1032,MAJOR HICKS,m67,godzilla,m,0
u1047,QUELLEK,m68,galaxy quest,m,9
u1036,ALEXANDER,m68,galaxy quest,m,3
u1042,JASON,m68,galaxy quest,m,1
u1049,TOMMY,m68,galaxy quest,m,6
u1041,GWEN,m68,galaxy quest,f,2
u1037,BRANDON,m68,galaxy quest,m,12
u1045,MATHESAR,m68,galaxy quest,m,7
u1054,HAMILTON,m69,george washington,m,0
u1050,ARNOLD,m69,george washington,m,0
u1064,WASHINGTON,m69,george washington,m,0
u1061,NATHANAEL GREENE,m69,george washington,m,0
u1057,JOSEPH REED,m69,george washington,m,0
u1058,LAFAYETTE,m69,george washington,m,0
u1059,MARTHA,m69,george washington,f,0
u1062,SALLY,m69,george washington,f,0
u1066,YOUNG WASHINGTON,m69,george washington,m,0
u1071,CHILI,m70,get shorty,m,1
u1068,BEAR,m70,get shorty,m,7
u1069,BO CATLETT,m70,get shorty,m,6
u1077,HARRY,m70,get shorty,m,2
u1070,BONES,m70,get shorty,m,5
u1081,MARTIN,m70,get shorty,m,4
u1078,KAREN,m70,get shorty,f,3
u1084,TOMMY,m70,get shorty,m,11
u1089,MURPHY,m71,ghost ship,m,1
u1088,GREER,m71,ghost ship,m,5
u1086,DODGE,m71,ghost ship,m,3
u1087,EPPS,m71,ghost ship,f,2
u1094,ENID,m72,ghost world,f,1
u1092,DAD,m72,ghost world,m,6
u1108,SEYMOUR,m72,ghost world,m,3
u1107,ROBERTA,m72,ghost world,f,5
u1100,JOSH,m72,ghost world,m,4
u1106,REBECCA,m72,ghost world,f,2
u1116,PATTERSON,m73,the ghost and the darkness,m,2
u1117,REDBEARD,m73,the ghost and the darkness,m,0
u1112,BEAUMONT,m73,the ghost and the darkness,m,3
u1119,STARLING,m73,the ghost and the darkness,m,6
u1118,SAMUEL,m73,the ghost and the darkness,m,4
u1120,DANA,m74,ghostbusters ii,f,3
u1125,JANOSZ,m74,ghostbusters ii,m,8
u1133,VENKMAN,m74,ghostbusters ii,m,1
u1132,STANTZ,m74,ghostbusters ii,m,2
u1124,JANINE,m74,ghostbusters ii,f,7
u1127,LOUIS,m74,ghostbusters ii,m,5
u1135,WINSTON,m74,ghostbusters ii,m,6
u1152,VENKMAN,m75,ghostbusters,m,0
u1138,DANA,m75,ghostbusters,f,0
u1149,SPENGLER,m75,ghostbusters,m,0
u1150,STANTZ,m75,ghostbusters,m,0
u1155,COMMODUS,m76,gladiator,m,2
u1161,LUCILLA,m76,gladiator,f,3
u1163,NARCISSUS,m76,gladiator,m,0
u1164,PROXIMO,m76,gladiator,m,4
u1166,SELENE,m76,gladiator,f,0
u1169,BEN,m77,the graduate,m,2
u1172,ELAINE,m77,the graduate,f,3
u1174,MR. MCCLEERY,m77,the graduate,m,10
u1179,MRS. ROBINSON'S VOICE,m77,the graduate,f,0
u1181,ROOM CLERK,m77,the graduate,m,7
u1178,MRS. ROBINSON,m77,the graduate,f,1
u1177,MRS. BRADDOCK,m77,the graduate,f,6
u1173,MR. BRADDOCK,m77,the graduate,m,4
u1176,MR. ROBINSON,m77,the graduate,m,5
u1191,KRINGELEIN,m78,grand hotel,m,5
u1184,BARON,m78,grand hotel,m,2
u1185,CHAUFFEUR,m78,grand hotel,m,12
u1188,FLAEMMCHEN,m78,grand hotel,f,3
u1190,GRUSINSKAYA,m78,grand hotel,f,1
u1195,PREYSING,m78,grand hotel,m,4
u1186,CLERK,m78,grand hotel,m,1000
u1198,SENF,m78,grand hotel,m,7
u1187,DOCTOR,m78,grand hotel,m,6
u1189,GERSTENKORN,m78,grand hotel,m,13
u1201,ZINNOWITZ,m78,grand hotel,m,9
u1199,SUZETTE,m78,grand hotel,f,11
u1210,LILLY,m79,the grifters,f,1
u1202,BOBO,m79,the grifters,m,17
u1213,MYRA,m79,the grifters,f,3
u1215,ROY,m79,the grifters,m,2
u1214,PIERSON,m79,the grifters,m,31
u1223,KERI,m80,halloween h20: 20 years later,f,1
u1222,JOHN,m80,halloween h20: 20 years later,m,2
u1228,WILL,m80,halloween h20: 20 years later,m,3
u1236,LOOMIS,m81,halloween: the curse of michael myers,m,1
u1239,WYNN,m81,halloween: the curse of michael myers,m,4
u1240,HAROLD,m82,"happy birthday, wanda june",m,1
u1241,LOOSELEAF,m82,"happy birthday, wanda june",m,5
u1245,SHUTTLE,m82,"happy birthday, wanda june",m,4
u1243,PAUL,m82,"happy birthday, wanda june",m,6
u1244,PENELOPE,m82,"happy birthday, wanda june",f,2
u1248,WOODLY,m82,"happy birthday, wanda june",m,0
u1255,JAKE,m83,hardcore,m,1
u1261,MAST,m83,hardcore,m,2
u1252,FELICE,m83,hardcore,f,10
u1262,NIKI,m83,hardcore,f,3
u1266,TOD,m83,hardcore,m,7
u1273,MAUDE,m84,harold and maude,f,1
u1272,HAROLD,m84,harold and maude,m,2
u1277,PSYCHIATRIST,m84,harold and maude,m,8
u1279,UNCLE VICTOR,m84,harold and maude,m,5
u1283,KIRSTY,m85,hellbound: hellraiser ii,f,2
u1284,KYLE,m85,hellbound: hellraiser ii,m,6
u1294,HELLBOY,m86,hellboy,m,1
u1299,MYERS,m86,hellboy,m,4
u1308,LARRY,m87,hellraiser,m,1
u1307,KIRSTY,m87,hellraiser,f,3
u1303,CENOBITE,m87,hellraiser,m,17
u1305,FRANK,m87,hellraiser,m,4
u1306,JULIA,m87,hellraiser,f,2
u1311,STEVE,m87,hellraiser,m,6
u1323,ROB,m88,high fidelity,m,1
u1313,BARRY,m88,high fidelity,m,4
u1317,DICK,m88,high fidelity,m,3
u1319,LAURA,m88,high fidelity,f,2
u1314,CAROLINE,m88,high fidelity,f,13
u1320,LIZ,m88,high fidelity,f,7
u1321,MARIE,m88,high fidelity,f,5
u1325,WOMAN,m88,high fidelity,f,0
u1326,BRENNA,m89,highlander,f,0
u1351,TAUPIN,m89,highlander,m,0
u1345,MORAN,m89,highlander,m,6
u1327,CONOR,m89,highlander,m,0
u1349,ROMIREZ,m89,highlander,m,0
u1372,MURPHY,m90,his girl friday,m,5
u1364,HILDY,m90,his girl friday,f,2
u1357,BURNS,m90,his girl friday,m,1
u1356,BRUCE,m90,his girl friday,m,3
u1363,HARTMAN,m90,his girl friday,m,0
u1368,MAYOR,m90,his girl friday,m,8
u1375,WILLIAMS,m90,his girl friday,m,14
u1361,ENDICOTT,m90,his girl friday,m,7
u1380,DAWN,m91,hope and glory,f,5
u1379,CLIVE,m91,hope and glory,m,4
u1384,MAC,m91,hope and glory,m,6
u1381,GRACE,m91,hope and glory,f,3
u1388,BABY,m92,house of 1000 corpses,f,17
u1394,JERRY,m92,house of 1000 corpses,m,11
u1389,BILL,m92,house of 1000 corpses,m,25
u1395,MARY,m92,house of 1000 corpses,f,13
u1392,DENISE,m92,house of 1000 corpses,f,4
u1405,LILA,m93,human nature,f,1
u1409,PUFF,m93,human nature,m,2
u1404,GABRIELLE,m93,human nature,f,19
u1407,NATHAN,m93,human nature,m,3
u1416,EDDIE,m94,the hustler,m,1
u1420,SARAH,m94,the hustler,f,3
u1413,BERT,m94,the hustler,m,4
u1418,FINDLEY,m94,the hustler,m,6
u1415,CHARLIE,m94,the hustler,m,5
u1417,FATS,m94,the hustler,m,2
u1424,NEVILLE,m95,i am legend,m,1
u1422,EMMA,m95,i am legend,f,0
u1427,DAD,m96,invaders from mars,m,0
u1429,JIMMY,m96,invaders from mars,m,0
u1430,LINDA,m96,invaders from mars,f,0
u1434,CONSTANCE,m97,independence day,f,8
u1435,DAVID,m97,independence day,m,3
u1447,PRESIDENT,m97,independence day,m,2
u1440,MARTY,m97,independence day,m,11
u1450,STEVE,m97,independence day,m,1
u1436,GENERAL GREY,m97,independence day,m,0
u1437,JASMINE,m97,independence day,f,9
u1452,BRODY,m98,indiana jones and the last crusade,m,3
u1457,INDY,m98,indiana jones and the last crusade,m,7
u1456,HENRY,m98,indiana jones and the last crusade,m,2
u1454,DONOVAN,m98,indiana jones and the last crusade,m,6
u1455,ELSA,m98,indiana jones and the last crusade,f,4
u1463,INDIANA,m99,indiana jones and the temple of doom,m,1
u1468,WILLIE,m99,indiana jones and the temple of doom,f,2
u1469,AL,m100,innerspace,m,45
u1475,JOE,m100,innerspace,m,0
u1479,RENE,m100,innerspace,f,0
u1510,WIGAND,m101,the insider,m,2
u1497,LIANE,m101,the insider,f,4
u1499,LOWELL,m101,the insider,m,1
u1490,DON HEWITT,m101,the insider,m,5
u1502,MIKE WALLACE,m101,the insider,m,3
u1505,SHARON,m101,the insider,f,6
u1520,MILES,m102,intolerable cruelty,m,1
u1519,MARYLIN,m102,intolerable cruelty,f,2
u1513,DOYLE,m102,intolerable cruelty,m,8
u1517,KENNETH,m102,intolerable cruelty,m,0
u1523,REX,m102,intolerable cruelty,m,5
u1525,SARAH,m102,intolerable cruelty,f,9
u1529,WRIGLEY,m102,intolerable cruelty,m,6
u1530,ANDREWS,m103,it happened one night,f,2
u1548,PETER,m103,it happened one night,m,1
u1535,ELLIE,m103,it happened one night,f,2
u1552,SHAPELEY,m103,it happened one night,m,4
u1539,GORDON,m103,it happened one night,m,9
u1568,JIM,m104,jfk,m,8
u1556,ANDREWS,m104,jfk,m,45
u1577,MARTIN,m104,jfk,m,16
u1558,BILL,m104,jfk,m,17
u1586,SUSIE,m104,jfk,f,24
u1574,LOU,m104,jfk,m,9
u1585,SHAW,m104,jfk,m,42
u1561,FERRIE,m104,jfk,m,29
u1572,LIZ,m104,jfk,f,19
u1588,X,m104,jfk,f,24
u1593,JACKIE,m105,jackie brown,f,1
u1595,MAX,m105,jackie brown,m,3
u1598,ORDELL,m105,jackie brown,m,2
u1591,BEAUMONT,m105,jackie brown,m,8
u1592,DARGUS,m105,jackie brown,m,7
u1597,NICOLET,m105,jackie brown,m,5
u1596,MELANIE,m105,jackie brown,f,4
u1594,LOUIS,m105,jackie brown,m,6
u1612,JACOB,m106,jacob's ladder,m,1
u1608,FRANK,m106,jacob's ladder,m,8
u1616,LOUIS,m106,jacob's ladder,m,3
u1614,JEZZIE,m106,jacob's ladder,f,2
u1617,MICHAEL,m106,jacob's ladder,m,4
u1620,PAUL,m106,jacob's ladder,m,5
u1630,BRODSKI,m107,jason x,m,5
u1635,KAY-EM 14,m107,jason x,f,2
u1642,BRODY,m108,jaws,m,1
u1652,QUINT,m108,jaws,m,2
u1646,ELLEN,m108,jaws,f,4
u1653,VAUGHN,m108,jaws,m,5
u1649,HOOPER,m108,jaws,m,3
u1654,BLEEKER,m109,juno,m,2
u1660,JUNO,m109,juno,f,1
u1656,BREN,m109,juno,f,5
u1662,MAC,m109,juno,f,1
u1663,MARK,m109,juno,m,4
u1668,VANESSA,m109,juno,f,3
u1661,LEAH,m109,juno,f,7
u1670,ADELE,m110,kalifornia,f,9
u1672,BRIAN,m110,kalifornia,m,4
u1674,CARRIE,m110,kalifornia,f,7
u1675,EARLY,m110,kalifornia,m,1
u1691,RUBY,m111,kids,f,15
u1696,TELLY,m111,kids,m,1
u1679,CASPER,m111,kids,m,3
u1685,JENNIE,m111,kids,f,14
u1680,DARCY,m111,kids,f,63
u1695,TAXI DRIVER,m111,kids,m,59
u1698,ANDY,m112,knight moves,m,4
u1708,PETER,m112,knight moves,m,1
u1703,FRANK,m112,knight moves,m,3
u1706,KATHY,m112,knight moves,f,2
u1701,DOCTOR FULTON,m112,knight moves,m,21
u1712,COLWYN,m113,krull,m,1
u1715,LYSSA,m113,krull,f,2
u1725,YNYR,m113,krull,m,3
u1720,TORQUIL,m113,krull,m,5
u1724,WIDOW,m113,krull,f,4
u1730,MATHILDA,m114,lon,f,3
u1728,LEON,m114,lon,m,22
u1736,ADELLE,m115,labor of love,f,0
u1748,MAURICE,m115,labor of love,m,0
u1741,ELLEN,m115,labor of love,f,0
u1755,BEN,m116,leaving las vegas,m,1
u1758,SERA,m116,leaving las vegas,f,2
u1767,ELLE,m117,legally blonde,f,1
u1768,EMMETT,m117,legally blonde,m,2
u1763,CHUTNEY,m117,legally blonde,f,12
u1774,PAULETTE,m117,legally blonde,f,6
u1772,MARGOT,m117,legally blonde,f,9
u1779,WARNER,m117,legally blonde,m,4
u1782,BARON,m118,legend,m,0
u1788,LILI,m118,legend,f,2
u1785,JACK,m118,legend,m,1
u1784,GUMP,m118,legend,m,4
u1786,JENNY,m118,legend,f,0
u1790,OONA,m118,legend,f,10
u1804,ROBIN,m119,life as a house,f,2
u1806,SAM,m119,life as a house,m,3
u1794,ALYSSA,m119,life as a house,f,4
